"ingredient_id","ingredient_name"
"1","그라놀라"
"2","무침양념"
"3","포항초"
"4","박력"
"5","현미유"
"6","오렌지주스"
"7","석류"
"8","샐러리잎"
"9","가시오가피"
"10","토마토페스트"
"11","깐생강"
"12","버섯"
"13","들깻가루"
"14","볶은통깨"
"15","함초"
"16","흰후추"
"17","적양파"
"18","무장아찌"
"19","훈재연어"
"20","버거빵"
"21","정향"
"22","느타리버섯"
"23","민트잎"
"24","깐대파"
"25","치즈"
"26","견과류"
"27","천일염"
"28","가자미"
"29","소스소개저나트륨"
"30","정육"
"31","두부강된장"
"32","적겨자"
"33","주황"
"34","살"
"35","감식초"
"36","무순"
"37","고운고춧가루"
"38","국멸치"
"39","맛소금"
"40","홍시드레싱"
"41","명란젓"
"42","미림"
"43","타피오카"
"44","간편"
"45","닭다리"
"46","양상추"
"47","올리"
"48","흑미"
"49","닭안심살"
"50","포두부"
"51","옥수수콘"
"52","조개살"
"53","바닐라빈"
"54","피망채친"
"55","키조개관자"
"56","홍시"
"57","쌀밥"
"58","강력"
"59","멸치액젓"
"60","콩국물"
"61","설탕시럼"
"62","커리"
"63","바나나식초"
"64","당근조림"
"65","체더치즈"
"66","치자가루"
"67","메밀묵"
"68","홀그레인머스터드"
"69","더덕"
"70","레시틴가루"
"71","라이스페이퍼"
"72","구기자"
"73","곁들이야채"
"74","케첩"
"75","노란콩"
"76","아보카도"
"77","굴림만두"
"78","감말랭이"
"79","모차렐라"
"80","돼지고기사태"
"81","건오징어"
"82","불릴"
"83","초간장"
"84","그린매쉬드포테이토"
"85","깐마늘"
"86","홍피망"
"87","먹물"
"88","찰어묵"
"89","홍고추마른"
"90","식용"
"91","얼린"
"92","아삭이고추"
"93","새우젓국"
"94","방아잎"
"95","깐밤"
"96","그라나파다노치즈"
"97","발"
"98","바질가루"
"99","적파프리카"
"100","강낭콩"
"101","유기농"
"102","데쳐서"
"103","허브크러스트"
"104","전립분"
"105","퀴노아"
"106","샐러드소스"
"107","제철과일"
"108","강력밀가루"
"109","옥수수가루"
"110","겨자가루"
"111","발효원종"
"112","굵은소금"
"113","춘권피"
"114","루콜라"
"115","커피"
"116","단촛물"
"117","식물성기름"
"118","크림소스"
"119","크래커"
"120","블루베리소스"
"121","떡"
"122","석류주스"
"123","탈리아텔레"
"124","묵"
"125","영양부추"
"126","검은깨"
"127","매운고춧가루"
"128","실파"
"129","청홍고추"
"130","핑크"
"131","호두"
"132","유"
"133","그린커리"
"134","껍질"
"135","라이스페퍼"
"136","거피들깨가루"
"137","우삼겹"
"138","안심"
"139","토마토케첩소스"
"140","양념족발"
"141","곁들이장"
"142","현미식초"
"143","완숙"
"144","브로컬리"
"145","봄동"
"146","저염"
"147","코코넛워터"
"148","소스"
"149","까나리액젓"
"150","갈치"
"151","멍게살"
"152","김치조림"
"153","돼지감자가루"
"154","참기름"
"155","블랙올리브"
"156","김장김치"
"157","간장"
"158","라임주스"
"159","월계수"
"160","티백"
"161","산딸기"
"162","대추"
"163","각얼음"
"164","건함초"
"165","통조림"
"166","채끝살"
"167","요구르트"
"168","청포도"
"169","유자"
"170","물김치국물"
"171","슈가파우더"
"172","데친"
"173","노란파프리카"
"174","피클"
"175","깨소금"
"176","뽕잎국수"
"177","두부양념장"
"178","크루통"
"179","홍토마토"
"180","중불에서"
"181","파스타소스"
"182","코코넛밀크"
"183","알파벳파스타"
"184","취나물"
"185","파스타면"
"186","적채"
"187","황태머리"
"188","현미휴"
"189","매운소스"
"190","해바라기씨"
"191","소스소개"
"192","쇠고기양념"
"193","잡곡"
"194","석류즙"
"195","자몽주수"
"196","자청"
"197","닙스"
"198","국물재료"
"199","대파채"
"200","녹말"
"201","두유"
"202","플레인"
"203","건강그린"
"204","그린빈스"
"205","라임청"
"206","옥수수알"
"207","절편"
"208","우렁"
"209","가다랑어장국"
"210","아기치즈"
"211","새싹"
"212","미니양배추"
"213","녹인"
"214","케찹"
"215","검은콩두부"
"216","요거트"
"217","복분자"
"218","파마산치즈"
"219","통배추"
"220","액기스"
"221","저염간장양념"
"222","건조미역"
"223","피클물"
"224","고추기름"
"225","파르메산치즈"
"226","볶음간장"
"227","피스타치오"
"228","치킨스톡"
"229","인분"
"230","팥앙금"
"231","고구마"
"232","미니파프리카"
"233","귀리밥"
"234","멥쌀"
"235","연어"
"236","석박지"
"237","믹서에"
"238","숙주"
"239","저염베이컨"
"240","돼지고기갈은"
"241","빠금장"
"242","황태채"
"243","실파송송썬"
"244","시판"
"245","건포도"
"246","조"
"247","재료"
"248","드라이이스트"
"249","식용유"
"250","요네즈"
"251","카엔패퍼"
"252","어린잎"
"253","홍초물"
"254","앤쵸비"
"255","코코넛"
"256","미나리"
"257","슬라이스햄"
"258","으깬"
"259","청양고추버터"
"260","가쯔오부시"
"261","깍두기"
"262","액젓"
"263","냉동고등어"
"264","편"
"265","삶은달걀"
"266","새송이벗서"
"267","타임마른"
"268","표고"
"269","로즈마리"
"270","육수재료"
"271","냉동"
"272","당귀"
"273","단배추"
"274","미역"
"275","찐"
"276","실고추"
"277","건표고버섯"
"278","적포도주"
"279","두부"
"280","아욱"
"281","된장소스"
"282","가자미살"
"283","포도주"
"284","굵은"
"285","구운채소"
"286","비빔소스"
"287","비트"
"288","생선육수"
"289","갈아줌"
"290","귀리"
"291","곁들이김치"
"292","칼국수면"
"293","복숭아"
"294","마늘쫑"
"295","전복살"
"296","레몬그라스"
"297","라면"
"298","한천"
"299","호박고구마스프"
"300","명태포"
"301","오징어"
"302","고춧가루"
"303","마요네즈"
"304","닭날개"
"305","산마드래싱"
"306","아귀찜양념"
"307","후춧가루"
"308","연겨자"
"309","토마토소스"
"310","깐양파"
"311","부순"
"312","키위샐러드"
"313","젓갈"
"314","닭봉"
"315","카옌"
"316","카레소스"
"317","우민찌"
"318","거피한"
"319","미숫가루"
"320","저나트륨칠리소스"
"321","주꾸미"
"322","다시팩"
"323","쌈채"
"324","백앙금"
"325","홍새우"
"326","녹말가루"
"327","마른미역"
"328","미니새송이"
"329","조림소스"
"330","잘게"
"331","맞게"
"332","덧밀가루"
"333","땅콩가루"
"334","어린이치즈"
"335","바나나슬라이스"
"336","콩기름"
"337","볶음양념"
"338","반죽"
"339","로즈메리"
"340","파마산치즈가루"
"341","통마늘"
"342","삼계탕"
"343","알배추"
"344","북어"
"345","정종"
"346","쌈추"
"347","에벤탈치즈"
"348","블랙초콜릿"
"349","올방개묵"
"350","차이브"
"351","녹차소금"
"352","조선무"
"353","레드크러쉬드"
"354","우유"
"355","맥주"
"356","전복"
"357","대두유"
"358","설탕"
"359","매실식초"
"360","썬"
"361","레디쉬"
"362","골파"
"363","무첨가두유"
"364","커민"
"365","달래"
"366","디핑소스"
