ingredient_id,ingredient_name
4,la갈비
2408,가나초콜릿
6,가니미소
7,가니쉬
8,가다랑어포
9,가당휘핑크림
10,가래떡
11,가리비
12,가마보꼬
13,가문어
14,가쓰오간장소스
15,가쓰오부시
16,가쓰오부시장국
17,가쓰오우동
18,가염버터
19,가와지쌀
20,가자미
21,가자미살
22,가자미식해
23,가지
24,가지나물
25,각설탕
26,각얼음
27,간깨
28,간돼지고기
29,간마늘
30,간생강
31,간양파
32,간장
33,간장게장
34,간장닭강정
35,간장밥
36,간장새우
37,간장새우소스
38,간장새우장국물
39,간장샐러드소스
40,간장소스
41,간장연어장
42,간짬뽕
43,갈릭디핑소스
44,갈릭마요네즈
45,갈릭미니롤
46,갈릭소스
47,갈릭솔트
48,갈릭칠리소스
49,갈릭칩
50,갈릭허브솔트
2,갈비
52,갈비대
53,갈비산적
54,갈비찜
55,갈색만가닥버섯
56,갈치
2070,갈치구이
57,갈치속젓
58,감
59,감귤
60,감말랭이
61,감식초
62,감잎
63,감자
64,감자껍질
65,감자샐러드
66,감자수제비
67,감자옹심이
68,감자전분
69,감자찌개
70,감자칩
71,감자탕
72,감자튀김
73,감장아찌
74,감태
75,갑오징어
76,갓
77,갓김치
78,강낭콩
79,강된장
80,강력분
81,강황가루
82,강황국수
83,건가지
84,건고추
85,건과일
86,건다시마
87,건당면
88,건대추
89,건더기스프
90,건두부
91,건라즈베리
92,건멸치
93,건무화과
94,건문어
95,건미역
96,건바질
97,건보리새우
98,건부추
99,건블루베리
100,건빵
101,건살구
102,건새우
103,건새우가루
104,건식찹쌀가루
105,건쌀국수
106,건야채
107,건오레가노
108,건오미자
109,건오징어
110,건우동면
111,건자두
112,건자두콤포트잼
113,건조생강
114,건조톳
115,건크랜베리
116,건파슬리
117,건파파야
118,건포도
119,건표고버섯
120,건해초
121,건호박
122,건홍고추
123,건홍합
124,검은깨
125,검은콩
126,검은콩국물
127,검은콩두부
128,검은콩두유
129,검정식용색소
130,검정통깨
131,게맛살
132,게살
133,게살볶음밥
134,겨자
135,겨자분말가루
136,겨자소스
137,겨자잎
138,견과류
139,견과류분태
140,계란
141,계란과자
142,계란노른자
143,계란말이
144,계란물
145,계란지단
146,계란찜
147,계란후라이
148,계란흰자
149,계란흰자분
150,계피
151,계피가루
152,계피설탕
153,계피스틱
154,고구마
155,고구마전분
156,고구마줄기
157,고구마칩
158,고기
159,고기느타리버섯
160,고기만두
161,고기반죽
162,고깔양배추
163,고노와다
164,고다치즈
165,고등어
166,고등어까스
167,고르곤졸라
168,고르곤졸라치즈
169,고메돈카츠모짜렐라
170,고메돈카츠통동심
171,고사리
172,고사리볶음
173,고수
174,고수삼갈비탕
175,고수줄기
176,고운고춧가루
177,고운소금
178,고추
179,고추냉이
180,고추냉이마요네즈
181,고추마늘소스
182,고추잎무침반찬
