,rcp_number,ingredient_name,ingredient_id
0,6912220,간장,32
1,6912220,굴소스,261
2,6912220,대파,528
3,6912220,마늘,759
4,6912220,멸치육수,850
5,6912220,설탕,1273
6,6912220,소금,729
7,6912220,순두부,1429
8,6912220,식용유,1537
9,6912220,애호박,1665
10,6912220,양파,1708
11,6912220,참기름,2305
12,6912220,청양고추,2352
13,6885928,간장,32
14,6885928,고추장,183
15,6885928,고춧가루,188
16,6885928,국수,251
17,6885928,김치,303
18,6885928,설탕,1273
19,6885928,식용유,1537
20,6885928,식초,1538
21,6885928,올리고당,1917
22,6885928,참기름,2305
23,6885928,통깨,2635
24,6870905,국간장,249
25,6870905,다시마,460
26,6870905,당근,508
27,6870905,대파,528
28,6870905,떡,645
29,6870905,만두,791
30,6870905,멸치,845
31,6870905,소금,729
32,6870905,애호박,1665
33,6870905,양파,1708
34,6870905,육수,2025
35,6870905,참기름,2305
36,6879335,간장,32
37,6879335,김가루,297
38,6879335,마요네즈,716
39,6879335,맛술,807
40,6879335,밥,973
41,6879335,양파,1708
42,6879335,올리고당,1917
43,6879335,쪽파,742
44,6879335,참치,2317
45,6911743,김치,303
46,6911743,김치국물,304
47,6911743,다진마늘,469
48,6911743,물,890
49,6911743,부침가루,1037
50,6887430,간장,32
51,6887430,설탕,1273
52,6887430,소금,729
53,6887430,소면,1312
54,6887430,참기름,2305
55,6878335,간장,32
56,6878335,계란,140
57,6878335,김,296
58,6878335,맛술,807
59,6878335,밥,973
60,6878335,설탕,1273
61,6878335,스팸,1487
62,6878335,양파,1708
63,6878335,통깨,2635
64,6841018,간장,32
65,6841018,고추장,183
66,6841018,다진마늘,469
67,6841018,당근,508
68,6841018,설탕,1273
69,6841018,양배추,732
70,6841018,양조식초,1706
71,6841018,오이,1874
72,6841018,올리고당,1917
73,6841018,참기름,2305
74,6841018,콩나물,2548
75,6889388,다진마늘,469
76,6889388,면수,844
77,6889388,소금,729
78,6889388,올리브유,1922
79,6889388,통마늘,2637
80,6889388,페페론치노,2738
81,6856565,계란,140
82,6856565,깨,326
83,6856565,밥,973
84,6856565,식용유,1537
85,6856565,진간장,2246
86,6856565,참기름,2305
87,6879014,계란,140
88,6879014,국간장,249
89,6879014,다진마늘,469
90,6879014,대파,528
91,6879014,멸치,845
92,6879014,물,890
93,6879014,미림,898
94,6879014,소금,729
95,6879014,홍고추,2901
96,6860486,간장,32
97,6860486,대파,528
98,6860486,물,890
99,6860486,밥,973
100,6860486,소금,729
101,6860486,스팸,1487
102,6860486,치즈,2426
103,6860486,피자치즈,2788
104,6860486,햄,2852
105,6839413,간장,32
106,6839413,고추장,183
107,6839413,깨소금,328
108,6839413,당근,508
109,6839413,돼지고기,574
110,6839413,설탕,1273
111,6839413,식초,1538
112,6839413,애호박,1665
113,6839413,양파,1708
114,6839413,참기름,2305
115,6853815,깨소금,328
116,6853815,물,890
117,6853815,설탕,1273
118,6853815,소금,729
119,6853815,식초,1538
120,6853815,오이,1874
121,6885470,간장,32
122,6885470,계란,140
123,6885470,돼지고기,574
124,6885470,목살,870
125,6885470,물,890
126,6885470,밀가루,919
127,6885470,설탕,1273
128,6885470,소금,729
129,6885470,식초,1538
130,6885470,통마늘,2637
131,6894538,간장,32
132,6894538,계란,140
133,6894538,깨,326
134,6894538,대파,528
135,6894538,밥,973
136,6894538,참기름,2305
137,6894538,참치,2317
138,6902207,간장,32
139,6902207,다진마늘,469
140,6902207,대패삼겹살,531
141,6902207,맛술,807
