,rcp_number,ingredient_name,ingredient_id
0,1,간장,32
1,1,굴소스,261
2,1,대파,528
3,1,마늘,759
4,1,멸치육수,850
5,1,설탕,1273
6,1,소금,729
7,1,순두부,1429
8,1,식용유,1537
9,1,애호박,1665
10,1,양파,1708
11,1,참기름,2305
12,1,청양고추,2352
13,1,계란,140
14,1,고춧가루,188
15,2,간장,32
16,2,고추장,183
17,2,고춧가루,188
18,2,국수,251
19,2,김치,303
20,2,설탕,1273
21,2,식용유,1537
22,2,식초,1538
23,2,올리고당,1917
24,2,참기름,2305
25,2,통깨,2635
26,3,국간장,249
27,3,다시마,460
28,3,당근,508
29,3,대파,528
30,3,떡,645
31,3,만두,791
32,3,멸치,845
33,3,소금,729
34,3,애호박,1665
35,3,양파,1708
36,3,육수,2025
37,3,참기름,2305
38,3,계란,140
39,4,간장,32
40,4,김가루,297
41,4,마요네즈,716
42,4,맛술,807
43,4,밥,973
44,4,양파,1708
45,4,올리고당,1917
46,4,쪽파,742
47,4,참치,2317
48,4,계란,140
49,5,김치,303
50,5,김치국물,304
51,5,다진마늘,469
52,5,물,890
53,5,부침가루,1037
54,6,간장,32
55,6,설탕,1273
56,6,소금,729
57,6,소면,1312
58,6,참기름,2305
59,6,고춧가루,188
60,7,간장,32
61,7,계란,140
62,7,김,296
63,7,맛술,807
64,7,밥,973
65,7,설탕,1273
66,7,스팸,1487
67,7,양파,1708
68,7,통깨,2635
69,8,간장,32
70,8,고추장,183
71,8,다진마늘,469
72,8,당근,508
73,8,설탕,1273
74,8,양배추,732
75,8,양조식초,1706
76,8,오이,1874
77,8,올리고당,1917
78,8,참기름,2305
79,8,콩나물,2548
80,8,고춧가루,188
81,9,다진마늘,469
82,9,면수,844
83,9,소금,729
84,9,올리브유,1922
85,9,통마늘,2637
86,9,페페론치노,2738
87,10,계란,140
88,10,깨,326
89,10,밥,973
90,10,식용유,1537
91,10,진간장,2246
92,10,참기름,2305
93,11,계란,140
94,11,국간장,249
95,11,다진마늘,469
96,11,대파,528
97,11,멸치,845
98,11,물,890
99,11,미림,898
100,11,소금,729
101,11,홍고추,2901
102,12,간장,32
103,12,대파,528
104,12,물,890
105,12,밥,973
106,12,소금,729
107,12,스팸,1487
108,12,치즈,2426
109,12,피자치즈,2788
110,12,햄,2852
111,12,계란,140
112,13,간장,32
113,13,고추장,183
114,13,깨소금,328
115,13,당근,508
116,13,돼지고기,574
117,13,설탕,1273
118,13,식초,1538
119,13,애호박,1665
120,13,양파,1708
121,13,참기름,2305
122,14,깨소금,328
123,14,물,890
124,14,설탕,1273
125,14,소금,729
126,14,식초,1538
127,14,오이,1874
128,15,간장,32
129,15,계란,140
130,15,돼지고기,574
131,15,목살,870
132,15,물,890
133,15,밀가루,919
134,15,설탕,1273
135,15,소금,729
136,15,식초,1538
137,15,통마늘,2637
138,16,간장,32
139,16,계란,140
140,16,깨,326
141,16,대파,528
142,16,밥,973
143,16,참기름,2305
144,16,참치,2317
145,17,간장,32
146,17,다진마늘,469
147,17,대패삼겹살,531
148,17,맛술,807
149,17,설탕,1273
150,17,양념장,1688
151,17,양파,1708
152,17,계란,140
153,18,양파,1708
154,18,우유,1988
155,18,카레가루,2468
156,18,햄,2852
157,18,계란,140
158,19,간장,32
