rcp_number,ingredient_name,ingredient_id
1,간장,32
1,굴소스,261
1,대파,528
1,마늘,759
1,멸치육수,850
1,설탕,1273
1,소금,729
1,순두부,1429
1,식용유,1537
1,애호박,1665
1,양파,1708
1,참기름,2305
1,청양고추,2352
1,계란,140
1,고춧가루,188
2,간장,32
2,고추장,183
2,고춧가루,188
2,국수,251
2,김치,303
2,설탕,1273
2,식용유,1537
2,식초,1538
2,올리고당,1917
2,참기름,2305
2,통깨,2635
3,국간장,249
3,다시마,460
3,당근,508
3,대파,528
3,떡,645
3,만두,791
3,멸치,845
3,소금,729
3,애호박,1665
3,양파,1708
3,육수,2025
3,참기름,2305
3,계란,140
4,간장,32
4,김가루,297
4,마요네즈,716
4,맛술,807
4,밥,973
4,양파,1708
4,올리고당,1917
4,쪽파,742
4,참치,2317
4,계란,140
5,김치,303
5,김치국물,304
5,다진마늘,469
5,물,890
5,부침가루,1037
6,간장,32
6,설탕,1273
6,소금,729
6,소면,1312
6,참기름,2305
6,고춧가루,188
7,간장,32
7,계란,140
7,김,296
7,맛술,807
7,밥,973
7,설탕,1273
7,스팸,1487
7,양파,1708
7,통깨,2635
8,간장,32
8,고추장,183
8,다진마늘,469
8,당근,508
8,설탕,1273
8,양배추,732
8,양조식초,1706
8,오이,1874
8,올리고당,1917
8,참기름,2305
8,콩나물,2548
8,고춧가루,188
9,다진마늘,469
9,면수,844
9,소금,729
9,올리브유,1922
9,통마늘,2637
9,페페론치노,2738
10,계란,140
10,깨,326
10,밥,973
10,식용유,1537
10,진간장,2246
10,참기름,2305
11,계란,140
11,국간장,249
11,다진마늘,469
11,대파,528
11,멸치,845
11,물,890
11,미림,898
11,소금,729
11,홍고추,2901
12,간장,32
12,대파,528
12,물,890
12,밥,973
12,소금,729
12,스팸,1487
12,치즈,2426
12,피자치즈,2788
12,햄,2852
12,계란,140
13,간장,32
13,고추장,183
13,깨소금,328
13,당근,508
13,돼지고기,574
13,설탕,1273
13,식초,1538
13,애호박,1665
13,양파,1708
13,참기름,2305
14,깨소금,328
