last_step,rcp_number,rcp_name,rcp_method,rcp_keyword,rcp_allergy,rcp_type,rcp_ingredient,rcp_ingredient_cnt,rcp_cooktime,rcp_picture
13,1,순두부찌개,끓이기,일상,콩/견과류,찌개,[재료] 순두부 | 대파 | 양파 | 애호박 | 청양고추 | 달걀 | 참기름 | 식용유 | 고추가루+ | 소금 | 설탕 | 굴소스 | 간장 | 다진 마늘 | 멸치육수,15,30,https://recipe1.ezmember.co.kr/cache/recipe/2019/08/07/8683a91920e8857cc7aba8fd79da46a91.jpg
9,2,김치비빔국수,비빔,야식,밀가루,면/만두,[재료] 국수. | 식용유 | 김치 | 간장 | 고추장 | 고춧가루 | 설탕 | 올리고당 | 식초 | 참기름 | 통깨 약간,11,10,https://recipe1.ezmember.co.kr/cache/recipe/2018/03/22/599723cfecc8d9dd610aabadcbf6f3a71.jpg
13,3,떡만두국,끓이기,일상,가공식품류,국/탕,[재료] 떡 | 만두 | 당근 | 양파 | 애호박 | 달걀 | 대파 [육수] 멸치 | 다시마 [국 간] 국간장 | 소금 | 후추 | 참기름,13,10,https://recipe1.ezmember.co.kr/cache/recipe/2017/06/08/3a62fceac5fe753655719a636b9224b91.jpg
7,4,참치마요덮밥,비빔,초스피드,가공식품류,밥/죽/떡,[재료] 밥 | 달걀 | 참치 | 마요네즈 | 다진양파 | 양파 | 맛술 | 간장 | 올리고당 | 쪽파 | 김가루 약간,11,30,https://recipe1.ezmember.co.kr/cache/recipe/2017/11/09/577f07d2a67736a0df97f8f5c95d26f01.jpg
5,5,김치전,부침,일상,채소류,밑반찬,[재료] 김치 | 부침가루 | 김치국물 | 물 | 다진마늘,5,10,https://recipe1.ezmember.co.kr/cache/recipe/2019/05/02/ddafc8912fdd1c261dd673cec48b96861.jpg
6,6,간장비빔국수,비빔,초스피드,밀가루,면/만두,[재료] 소면( 크기) | 간장 | 설탕 | 고추가루 | 참기름 | 소금 | 볶은깨,7,5,https://recipe1.ezmember.co.kr/cache/recipe/2018/04/17/c9e9177a6ba74619a86d0911a2478a231.jpg
8,7,스팸마요덮밥,볶음,일상,가공식품류,밥/죽/떡,[재료] 스팸 작은 거 | 계란 | 밥 공기 [소스 만들기] 양파 | 간장 | 맛술. | 설탕.~ | 후추 약간 | 통깨 약간 | 김 약간,10,30,https://recipe1.ezmember.co.kr/cache/recipe/2017/10/22/f64829fac211752c156bd582434cc7e61.jpg
7,8,쫄면양념장,기타,일상,기타,양념/소스/잼,[재료] 쫄면 | 양배추 | 오이 | 콩나물 | 당근 [양념] 고추장 | 고추가루 | 양조식초 | 설탕 | 올리고당 | 간장. | 다진마늘. | 참기름,13,15,https://recipe1.ezmember.co.kr/cache/recipe/2016/01/03/22144e9b758522aa37e01788f8f775421.jpg
14,9,알리오올리오파스타,볶음,일상,밀가루,면/만두,[재료 및 양념] 파스타 | 올리브유 | 통마늘~ | 다진마늘 | 페페론치노 | 소금 약간 | 면수,7,15,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/23/c9c8ef9fda1ce73353a8f73d21ada5e21.jpg
13,10,간장계란밥,볶음,일상,달걀/유제품,밥/죽/떡,[재료] 밥 | 계란 | 식용유 | 진간장 | 참기름 | 깨 약간,6,5,https://recipe1.ezmember.co.kr/cache/recipe/2016/09/06/115b2b934fd77085518877677d1266fa1.jpg
6,11,계란국,끓이기,초스피드,달걀/유제품,국/탕,[재료] 계란 | 물() | 홍고추 | 대파 | 멸치 | 미림 [국 간(밥숟가락 계량)] 소금 | 다진마늘 | 후추 톡톡 | 국간장,10,5,https://recipe1.ezmember.co.kr/cache/recipe/2017/11/03/ec43893899983facf948c57d4d33422a1.jpg
6,12,달걀밥,기타,초스피드,달걀/유제품,밥/죽/떡,[필수 재료] 밥 | 달걀 | 물 | 햄 or 스팸() | 다진 대파 | 피자치즈 | 슬라이스 치즈 [양념 재료] 간장 | 소금 약간 | 후추 약간,10,10,https://recipe1.ezmember.co.kr/cache/recipe/2016/11/11/437303185b36d639dddc95a0be488b0e1.png
7,13,비빔밥,비빔,일상,채소류,밥/죽/떡,[재료] 돼지고기 | 애호박 | 양파 | 당근 [양념] 고추장 | 간장 | 설탕. | 깨소금 | 참기름 | 식초,10,15,https://recipe1.ezmember.co.kr/cache/recipe/2015/12/08/0d2249438aac593752292c6380dbb5c41.jpg
5,14,오이냉국,끓이기,초스피드,채소류,국/탕,[재료] 오이 | 물 | 소금 | 설탕 | 식초 | 깨소금 약간,6,10,https://recipe1.ezmember.co.kr/cache/recipe/2016/08/01/1250bf1376b25174655411144e38c6b41.jpg
